순번,한자,급수,부수,음,훈,音,訓
332,毀,2,殳,훼,"부수다, 망가지다",キ,こぼ(つ)・やぶ(る)・やぶ(れる)・そし(る)・や(せる)
333,旗,7,方,기,깃발,キ,はた
334,器,7,口,기,그릇,キ,うつわ
335,畿,2,田,기,수도 주변,キ,みやこ
336,輝,4,車,휘,빛나다,キ,かがや(く)・て(る)
337,機,7,木,기,틀,キ,はた・からくり・きざ(し)・はずみ・おり
338,騎,3,馬,기,말 타다,キ,の(る)
339,技,6,手,기,"재주, 기술",ギ,わざ
340,宜,2.5,宀,의,마땅,ギ,よろ(しい)・よ(い)・むべ・よろ(しく…べし)
341,偽,2.5,人,위,"가짜, 속이다",ギ,いつわ(る)・にせ
342,欺,3,欠,기,속이다,ギ・キ,あざむ(く)
343,義,6,羊,의,옳음,ギ,よ(い)
344,疑,5,疋,의,의심하다,ギ,うたが(う)・うたぐ(る)
345,儀,4,人,의,의례,ギ,のり・よ(い)
346,戯,4,戈,희,놀다,ギ・ゲ,たわむ(れる)・ざ(れる)・たわ(ける)
347,擬,2.5,手,의,"비기다, 비교하다",ギ,なぞら(える)・はか(る)・まがい・もどき
348,犠,3,牛,희,희생,ギ・キ,いけにえ
349,議,7,言,의,의논,ギ,はか(る)
350,菊,3,艸,국,국화,キク,無し
351,吉,3,口,길,길하다,チキ・キツ,よ(い)
352,喫,3,口,끽,먹다,キツ,の(む)・す(う)・く(う)
353,詰,4,言,힐,"꾸짖다, 담다, 막히다",キツ,つ(める)・つ(まる)・つ(む)・なじ(る)
354,却,4,卩,각,물리치다,キャク,しりぞ(く)・しりぞ(ける)・かえ(って)
355,客,8,宀,객,손님,キャク・カク,まろうど
356,脚,4,肉,각,다리,キャク・キャ・カク,あし
357,逆,6,辵,역,거스르다,ギャク・ゲキ,さか・さか(らう)・むか(える)・あらかじ(め)
358,虐,3,虍,학,학대하다,ギャク,しいた(げる)・むご(い)
359,九,10,乙,구,"9, 아홉",キュウ・ク,ここの・ここの(つ)・あまた
360,久,6,丿,구,오래다,キュウ・ク,ひさ(しい)
361,及,4,又,급,"미치다, 이르다",キュウ,およ(ぶ)・およ(び)・およ(ばす)
362,弓,9,弓,궁,활,キュウ,ゆみ
363,丘,4,一,구,언덕,キュウ,おか
364,旧,6,日,구,옛,キュウ,ふる(い)・もと・ふ(る)・ふる(びる)
365,休,10,人,휴,쉬다,キュウ,やす(む)・やす(まる)・やす(める)・いこ(う)・や(める)・さいわ(い)・よ(い)
366,吸,5,口,흡,마시다,キュウ,す(う)
367,朽,4,木,후,썩다,キュウ,く(ちる)・すた(れる)
368,臼,2,臼,구,절구,キュウ,うす
369,求,7,水,구,"구하다, 바라다",キュウ・グ,もと(める)
370,究,8,穴,구,"연구, 파헤치다",キュウ・ク,きわ(める)・きわ(まる)
371,泣,7,水,읍,울다,キュウ,な(く)
372,急,8,心,급,"급하다, 서두르다, 조급해지다, 재촉하다",キュウ,いそ(ぐ)・せ(く)
373,級,8,糸,급,등급,キュウ,しな・くび
374,糾,2.5,糸,규,얽히다,キュウ,あざな(う)・ただ(す)
375,宮,8,宀,궁,왕궁,キュウ・グウ・ク,みや・いえ
376,救,6,攵,구,구하다,キュウ・グ・ク,すく(う)・たす(ける)
377,球,8,玉,구,공,キュウ,たま
378,給,7,糸,급,주다,キュウ,たま(う)・たまわ(る)
379,嗅,2,口,후,냄새 맡다,キュウ,か(ぐ)
380,窮,2.5,穴,궁,"끝까지 가다, 다하다",キュウ,きわ(める)・きわ(まる)
381,牛,9,牛,우,소리,ギュウ・ゴ,うし
382,去,8,厶,거,떠나다,キョ・コ,さ(る)・ゆ(く)・のぞ(く)
