순번,한자,구자,급수,부수,음,훈,内音,内訓,外音,外訓,音,訓
1418,直,,9,目,직,"곧다, 즉시, 고치다",チョク・ジキ,ただ(ちに)・なお(す)・なお(る),チ,じか・すぐ・あたい・ひた,チョク・ジキ・チ,ただ(ちに)・なお(す)・なお(る)・じか・すぐ・あたい・ひた
1419,勅,敕,2.5,力,칙,칙명,チョク,,,みことのり,チョク,みことのり
1420,捗,,2,手,척,진척,チョク,,,はかど(る),チョク,はかど(る)
1421,沈,,4,水,침,"가라앉다, 지다",チン,しず(む)・しず(める),ジン,,チン・ジン,しず(む)・しず(める)
1422,珍,,4,玉,진,드물다,チン,めずら(しい),,,チン,めずら(しい)
1423,朕,朕,2.5,月,짐,나,チン,,,われ・きざ(し),チン,われ・きざ(し)
1424,陳,,3,阜,진,진치다,チン,,ジン,つら(ねる)・の(べる)・ひ(ねる)・ふる(い),チン・ジン,つら(ねる)・の(べる)・ひ(ねる)・ふる(い)
1425,賃,,5,貝,임,품삯,チン,,ジン,やと(う),チン・ジン,やと(う)
1426,鎮,鎭,3,金,진,진정하다,チン,しず(める)・しず(まる),,おさ(え),チン,しず(める)・しず(まる)・おさ(え)
1427,追,追,8,辵,추,쫓다,ツイ,お(う),,,ツイ,お(う)
1428,椎,,2,木,추,"망치, 등골",ツイ,,スイ,しい・つち・せぼね・う(つ),ツイ・スイ,しい・つち・せぼね・う(つ)
1429,墜,墜,3,土,추,떨어지다,ツイ,,,お(ちる),ツイ,お(ちる)
1430,通,通,9,辵,통,"지나가다, 뚫다, 다니다",ツウ・ツ,とお(る)・とお(す)・かよ(う),,,ツウ・ツ,とお(る)・とお(す)・かよ(う)
1431,痛,,5,疒,통,"아프다, 괴롭다",ツウ,いた(い)・いた(む)・いた(める),トウ,いた(わしい)・や(める),ツウ・トウ,いた(い)・いた(む)・いた(める)・いた(わしい)・や(める)
1432,塚,塚,2.5,土,총,무덤,,つか,チョウ,,チョウ,つか
1433,漬,,2.5,水,지,"담그다, 익다",,つ(ける)・つ(かる),シ,,シ,つ(ける)・つ(かる)
1434,坪,坪,2.5,土,평,넓이,,つぼ,ヘイ,,ヘイ,つぼ
1435,爪,,2,爪,조,손톱,,つめ・つま,ソウ,,ソウ,つめ・つま
1436,鶴,,2,鳥,학,학,,つる,カク,,カク,つる
1437,低,,7,人,저,낮다,テイ,ひく(い)・ひく(める)・ひく(まる),,た(れる),テイ,ひく(い)・ひく(める)・ひく(まる)・た(れる)
1438,呈,,2.5,口,정,드리다,テイ,,,しめ(す),テイ,しめ(す)
1439,廷,,2.5,廴,정,집,テイ,,,にわ,テイ,にわ
1440,弟,,9,弓,제,남동생,テイ・ダイ・デ,おとうと,,,テイ・ダイ・デ,おとうと
1441,定,,8,宀,정,"정하다, 확실함",テイ・ジョウ,さだ(める)・さだ(まる)・さだ(か),,き(まる),テイ・ジョウ,さだ(める)・さだ(まる)・さだ(か)・き(まる)
1442,底,,7,广,저,"밑, 바닥",テイ,そこ,,,テイ,そこ
