순번,한자,구자,급수,부수,음,훈,内音,内訓,外音,外訓,音,訓
1728,猫,,2.5,犬,묘,고양이,ビョウ,ねこ,ミョウ,,ビョウ・ミョウ,ねこ
1729,品,,8,口,품,물건,ヒン,しな,ホン,,ヒン・ホン,しな
1730,浜,濱,4,水,빈,물가,ヒン,はま,,,ヒン,はま
1731,貧,,6,貝,빈,"가난하다, 적다",ヒン・ビン,まず(しい),,,ヒン・ビン,まず(しい)
1732,賓,賓,2.5,貝,빈,손님,ヒン,,,まろうど・したが(う),ヒン,まろうど・したが(う)
1733,頻,頻,2.5,頁,빈,자주,ヒン,,ビン,しき(る)・しき(りに),ヒン・ビン,しき(る)・しき(りに)
1734,敏,敏,4,攵,민,민감하다,ビン,,,と(し)・さと(い),ビン,と(し)・さと(い)
1735,瓶,甁,2.5,瓦,병,병,ビン,,ヘイ,かめ,ビン・ヘイ,かめ
1736,不,,7,一,"부, 불",아님,フ・ブ,,,…ず,フ・ブ,…ず
1737,夫,,7,大,부,남편,フ・フウ,おっと,ブ,おとこ・それ,フ・フウ・ブ,おっと・おとこ・それ
1738,父,,9,父,부,아빠,フ,ちち,ホ,,フ・ホ,ちち
1739,付,,7,人,부,붙다,フ,つ(ける)・つ(く),,あた(える),フ,つ(ける)・つ(く)・あた(える)
1740,布,,6,巾,"포, 보",베,フ,ぬの,ホ,し(く),フ・ホ,ぬの・し(く)
1741,扶,,2.5,手,부,돕다,フ,,,たす(ける),フ,たす(ける)
1742,府,,7,广,부,마을,フ,,,くら・みやこ,フ,くら・みやこ
1743,怖,,4,心,포,무섭다,フ,こわ(い),,おそ(れる)・お(じける),フ,こわ(い)・おそ(れる)・お(じける)
1744,阜,,7,阜,부,언덕,フ,,,おか・ゆた(か),フ,おか・ゆた(か)
1745,附,,2.5,阜,부,붙다,フ,,ブ,つ(く)・つ(ける),フ・ブ,つ(く)・つ(ける)
1746,訃,,2,言,부,부고,フ,,,つ(げる)・し(らせ),フ,つ(げる)・し(らせ)
1747,負,,8,貝,부,"지다, 짊어지다",フ,ま(ける)・ま(かす)・お(う),ブ・フウ,たの(む)・そむ(く),フ・ブ・フウ,ま(ける)・ま(かす)・お(う)・たの(む)・そむ(く)
1748,赴,,3,走,부,향하여 가다,フ,おもむ(く),,つ(げる),フ,おもむ(く)・つ(げる)
1749,浮,浮,4,水,부,뜨다,フ,う(く)・う(かれる)・う(かぶ)・う(かべる),フウ・ブ,,フ・フウ・ブ,う(く)・う(かれる)・う(かぶ)・う(かべる)
1750,婦,婦,6,女,부,며느리,フ,,,おんな,フ,おんな
1751,符,,3,竹,부,부호,フ,,,わりふ,フ,わりふ
1752,富,,7,宀,부,"재산, 풍부하다",フ・フウ,と(む)・とみ,,,フ・フウ,と(む)・とみ
1753,普,,4,日,보,보통,フ,,,あまね(く),フ,あまね(く)
1754,腐,,4,肉,부,썩다,フ,くさ(る)・くさ(れる)・くさ(らす),,くさ(す),フ,くさ(る)・くさ(れる)・くさ(らす)・くさ(す)
1755,敷,,4,攵,부,"깔다, 펴다",フ,し(く),,,フ,し(く)
1756,膚,,4,肉,부,"살갗, 피부",フ,,,はだ・はだえ,フ,はだ・はだえ
1757,賦,,4,貝,부,부세,フ,,,みつぎ・わか(つ),フ,みつぎ・わか(つ)
1758,譜,,2.5,言,보,"족보, 악보",フ,,,しる(す)・つづ(く),フ,しる(す)・つづ(く)
1759,侮,侮,2.5,人,모,깔보다,ブ,あなど(る),,,ブ,あなど(る)
1760,武,,6,止,무,무력,ブ・ム,,,たけ(し)・もののふ,ブ・ム,たけ(し)・もののふ
1761,部,,8,邑,부,부분,ブ,,ホウ・ホ,わ(ける)・す(べる)・くみ・べ・つかさ,ブ・ホウ・ホ,わ(ける)・す(べる)・くみ・べ・つかさ
1762,舞,舞,4,舛,무,춤추다,ブ,ま(う)・まい,ム,もてあそ(ぶ),ブ・ム,ま(う)・まい・もてあそ(ぶ)
1763,封,,3,寸,봉,봉하다,フウ・ホウ,,,と(じる)・さかい・ポンド,フウ・ホウ,と(じる)・さかい・ポンド
1764,風,,9,風,풍,바람,フウ・フ,かぜ・かざ,,ならわし・すがた・ふり,フウ・フ,かぜ・かざ・ならわし・すがた・ふり
1765,伏,,3,人,복,"숙이다, 숨기다",フク,ふ(せる)・ふ(す),ブク,かく(れる)・したが(う),フク・ブク,ふ(せる)・ふ(す)・かく(れる)・したが(う)
1766,服,,8,月,복,옷,フク,,,きもの・き(る)・したが(う)・の(む),フク,きもの・き(る)・したが(う)・の(む)
1767,副,,7,刀,부,버금,フク,,フウ,そ(う),フク・フウ,そ(う)
1768,幅,,4,巾,폭,폭,フク,はば,,,フク,はば
1769,復,,6,彳,"복, 부",회복하다,フク,,,かえ(る)・かえ(す)・また・ふたた(び),フク,かえ(る)・かえ(す)・また・ふたた(び)
1770,福,福,8,示,복,복,フク,,,さいわ(い),フク,さいわ(い)
1771,腹,,5,肉,복,배,フク,はら,,こころ,フク,はら・こころ
1772,複,,6,衣,복,여러,フク,,,かさ(ねる),フク,かさ(ねる)
1773,覆,,3,襾,복,"덮다, 가리다, 뒤엎다, 뒤집히다",フク,おお(う)・くつがえ(す)・くつがえ(る),フ・フウ,,フク・フ・フウ,おお(う)・くつがえ(す)・くつがえ(る)
1774,払,拂,4,手,불,"지불하다, 없애다",フツ,はら(う),,,フツ,はら(う)
1775,沸,,2.5,水,"불, 비",끓다,フツ,わ(く)・わ(かす),ヒ,た(てる)・にえ,フツ・ヒ,わ(く)・わ(かす)・た(てる)・にえ
1776,仏,佛,6,人,불,부처,ブツ,ほとけ,フツ,,ブツ・フツ,ほとけ
1777,物,,8,牛,물,물건,ブツ・モツ,もの,,,ブツ・モツ,もの
1778,粉,,6,米,분,"가루, 데시미터",フン,こ・こな,,デシメートル,フン,こ・こな・デシメートル
1779,紛,,3,糸,분,혼동되다,フン,まぎ(れる)・まぎ(らす)・まぎ(らわす)・まぎ(らわしい),,みだ(れる)・まが(う)・まぐ(れ),フン,まぎ(れる)・まぎ(らす)・まぎ(らわす)・まぎ(らわしい)・みだ(れる)・まが(う)・まぐ(れ)
1780,雰,,2.5,雨,분,날리다,フン,,,きり,フン,きり
1781,噴,,4,口,분,"뿜다, 솟아나다",フン,ふ(く),ホン,は(く),フン・ホン,ふ(く)・は(く)
1782,墳,,3,土,분,무덤,フン,,,はか,フン,はか
1783,憤,,2.5,心,분,분하다,フン,いきどお(る),,むずか(る),フン,いきどお(る)・むずか(る)
1784,奮,,5,大,분,떨치다,フン,ふる(う),,,フン,ふる(う)
1785,分,,9,刀,분,"나누다, 알다",ブン・フン・ブ,わ(ける)・わ(かれる)・わ(かる)・わ(かつ),,,ブン・フン・ブ,わ(ける)・わ(かれる)・わ(かる)・わ(かつ)
1786,文,,10,文,문,문서,ブン・モン,ふみ,,あや・かざ(る),ブン・モン,ふみ・あや・かざ(る)
1787,聞,,9,耳,문,"듣다, 들리다",ブン・モン,き(く)・き(こえる),,,ブン・モン,き(く)・き(こえる)
1788,丙,,2.5,一,병,세 번째,ヘイ,,,ひのえ,ヘイ,ひのえ
1789,平,平,8,干,평,평평함,ヘイ・ビョウ,たい(ら)・ひら,ヒョウ,,ヘイ・ビョウ・ヒョウ,たい(ら)・ひら
1790,兵,,7,八,병,병사,ヘイ・ヒョウ,,,つわもの・いくさ,ヘイ・ヒョウ,つわもの・いくさ
1791,併,倂,2.5,人,병,합치다,ヘイ,あわ(せる),,なら(ぶ)・しか(し),ヘイ,あわ(せる)・なら(ぶ)・しか(し)
1792,並,竝,5,一,병,나열하다,ヘイ,なみ・なら(べる)・なら(ぶ)・なら(びに),,,ヘイ,なみ・なら(べる)・なら(ぶ)・なら(びに)
1793,柄,,4,木,병,"몸집, 품위, 자루",ヘイ,がら・え,,つか・いきお(い),ヘイ,がら・え・つか・いきお(い)
1794,陛,,5,阜,폐,폐하,ヘイ,,,きざはし,ヘイ,きざはし
1795,閉,,5,門,폐,닫다,ヘイ,と(じる)・と(ざす)・し(める)・し(まる),,た(てる),ヘイ,と(じる)・と(ざす)・し(める)・し(まる)・た(てる)
1796,塀,塀,2.5,土,병,담,ヘイ,,,,ヘイ,無し
1797,幣,幣,2.5,巾,폐,화폐,ヘイ,,,ぜに・ぬさ・みてぐら,ヘイ,ぜに・ぬさ・みてぐら
1798,弊,弊,2.5,廾,폐,"폐단, 해지다",ヘイ,,,やぶ(れる)・つい(える)・つか(れる),ヘイ,やぶ(れる)・つい(える)・つか(れる)
1799,蔽,,2,艸,폐,덮다,ヘイ,,,おお(う)・おお(い)・さだ(める)・くら(い),ヘイ,おお(う)・おお(い)・さだ(める)・くら(い)
1800,餅,餠,2,食,병,떡,ヘイ,もち,,,ヘイ,もち
1801,米,,9,米,미,"쌀, 미터",ベイ・マイ,こめ,メ,よね・メートル,ベイ・マイ・メ,こめ・よね・メートル
1802,壁,,4,土,벽,벽,ヘキ,かべ,,がけ,ヘキ,かべ・がけ
1803,璧,,2,玉,벽,"옥, 흠이 없음",ヘキ,,,たま,ヘキ,たま
1804,癖,,3,疒,벽,"버릇, 습관",ヘキ,くせ,,,ヘキ,くせ
1805,別,,7,刀,별,"나눔, 헤어지다",ベツ,わか(れる),ベチ,わ(ける)・わか(つ),ベツ・ベチ,わか(れる)・わ(ける)・わか(つ)
1806,蔑,,2,艸,멸,깔보다,ベツ,さげす(む),,ないがし(ろ)・なみ(する)・くら(い),ベツ,さげす(む)・ないがし(ろ)・なみ(する)・くら(い)
1807,片,,5,片,편,조각,ヘン,かた,,きれ・ひら・ペンス,ヘン,かた・きれ・ひら・ペンス
1808,辺,邊,7,辵,변,근처,ヘン,あた(り)・べ,,ほとり,ヘン,あた(り)・べ・ほとり
1809,返,返,8,辵,반,"돌려주다, 돌아가다, 돌아오다",ヘン,かえ(す)・かえ(る),ハン・ホン,,ヘン・ハン・ホン,かえ(す)・かえ(る)
1810,変,變,7,夂,변,"변하다, 바꾸다",ヘン,か(わる)・か(える),,,ヘン,か(わる)・か(える)
1811,偏,偏,2.5,人,편,"기울다, 치우치다, 오직",ヘン,かたよ(る),,ひとえ(に),ヘン,かたよ(る)・ひとえ(に)
1812,遍,遍,2.5,辵,편,두루,ヘン,,,あまね(く),ヘン,あまね(く)
1813,編,編,6,糸,편,엮다,ヘン,あ(む),,とじいと・ふみ,ヘン,あ(む)・とじいと・ふみ
1814,弁,辨辯瓣,6,廾,변,고깔,ベン,,,わきま(える)・わ(ける)・はなびら・と(く)・かた(る),ベン,わきま(える)・わ(ける)・はなびら・と(く)・かた(る)
1815,便,,7,人,편,"편함, 소식",ベン・ビン,たよ(り),,よすが・いばり・へつら(う)・すなわ(ち),ベン・ビン,たよ(り)・よすが・いばり・へつら(う)・すなわ(ち)
1816,勉,勉,8,力,면,힘쓰다,ベン,,,つと(める),ベン,つと(める)
1817,歩,步,9,止,보,걷다,ホ・ブ・フ,ある(く)・あゆ(む),,,ホ・ブ・フ,ある(く)・あゆ(む)
1818,保,,6,人,보,지키다,ホ,たも(つ),ホウ,も(つ)・やす(んじる),ホ・ホウ,たも(つ)・も(つ)・やす(んじる)
1819,哺,,2,口,포,먹이다,ホ,,,ふく(む)・はぐく(む),ホ,ふく(む)・はぐく(む)
1820,捕,,4,手,포,잡다,ホ,と(らえる)・と(らわれる)・と(る)・つか(まえる)・つか(まる),ブ,,ホ・ブ,と(らえる)・と(らわれる)・と(る)・つか(まえる)・つか(まる)
1821,補,,5,衣,보,보충하다,ホ,おぎな(う),フ,たす(ける),ホ・フ,おぎな(う)・たす(ける)
1822,舗,舖,4,舌,포,"펴다, 가게",ホ,,フ,みせ・し(く),ホ・フ,みせ・し(く)
1823,母,,9,毋,모,엄마,ボ,はは,モ・ボウ,,ボ・モ・ボウ,はは
1824,募,,3,力,모,"모으다, 뽑다",ボ,つの(る),モ,,ボ・モ,つの(る)
1825,墓,,6,土,묘,무덤,ボ,はか,,,ボ,はか
1826,慕,,3,心,모,그립다,ボ,した(う),,しの(ぶ),ボ,した(う)・しの(ぶ)
1827,暮,,5,日,모,"저물다, 살다",ボ,く(れる)・く(らす),,,ボ,く(れる)・く(らす)
1828,簿,,3,竹,부,문서,ボ,,ホ,,ボ・ホ,無し
1829,方,,9,方,방,방향,ホウ,かた,,かく・ただ(しい)・まさ(に),ホウ,かた・かく・ただ(しい)・まさ(に)
1830,包,包,7,勹,포,포장하다,ホウ,つつ(む),,くる(む),ホウ,つつ(む)・くる(む)
1831,芳,,3,艸,방,향기롭다,ホウ,かんば(しい),,かお(り)・かぐわ(しい),ホウ,かんば(しい)・かお(り)・かぐわ(しい)
1832,邦,,3,邑,방,나라,ホウ,,,くに,ホウ,くに
1833,奉,,3,大,봉,"모시다, 받들다",ホウ・ブ,たてまつ(る),,まつ(る)・うけたまわ(る),ホウ・ブ,たてまつ(る)・まつ(る)・うけたまわ(る)
1834,宝,寶,5,宀,보,보물,ホウ,たから,,,ホウ,たから
1835,抱,抱,4,手,포,"안다, 감싸다",ホウ,だ(く)・いだ(く)・かか(える),,,ホウ,だ(く)・いだ(く)・かか(える)
1836,放,,8,攵,방,"놓다, 쏘다, 풀려나다, 방치하다",ホウ,はな(す)・はな(つ)・はな(れる)・ほう(る),,ゆる(す)・ほしいまま・まか(す)・さ(く)・ひ(る)・こ(く),ホウ,はな(す)・はな(つ)・はな(れる)・ほう(る)・ゆる(す)・ほしいまま・まか(す)・さ(く)・ひ(る)・こ(く)
1837,法,,7,水,법,법,ホウ・ハッ・ホッ,,,のり・のっと(る)・フラン,ホウ・ハッ・ホッ,のり・のっと(る)・フラン
1838,泡,泡,2.5,水,포,거품,ホウ,あわ,,あぶく,ホウ,あわ・あぶく
1839,胞,胞,3,肉,포,세포,ホウ,,,はら,ホウ,はら
1840,俸,,2.5,人,봉,봉급,ホウ,,,ふち,ホウ,ふち
1841,倣,,3,人,방,흉내내다,ホウ,なら(う),,,ホウ,なら(う)
1842,峰,,4,山,봉,봉우리,ホウ,みね,フ,,ホウ・フ,みね
1843,砲,砲,4,石,포,대포,ホウ,,,つつ・おおづつ,ホウ,つつ・おおづつ
1844,崩,,3,山,붕,무너지다,ホウ,くず(れる)・くず(す),,,ホウ,くず(れる)・くず(す)
1845,訪,,5,言,방,방문하다,ホウ,おとず(れる)・たず(ねる),,と(う)・おとな(う),ホウ,おとず(れる)・たず(ねる)・と(う)・おとな(う)
1846,報,,6,土,보,"보답하다, 보복하다",ホウ,むく(いる),,しら(せる),ホウ,むく(いる)・しら(せる)
1847,蜂,,2,虫,봉,벌,ホウ,はち,,むら(がる),ホウ,はち・むら(がる)
1848,豊,豐,6,豆,풍,풍부함,ホウ,ゆた(か),,とよ,ホウ,ゆた(か)・とよ
1849,飽,飽,3,食,포,"배부르다, 질리다, 끝까지",ホウ,あ(きる)・あ(かす),,,ホウ,あ(きる)・あ(かす)
1850,褒,襃,2.5,衣,포,"기리다, 칭찬하다",ホウ,ほ(める),,,ホウ,ほ(める)
1851,縫,縫,3,糸,봉,꿰매다,ホウ,ぬ(う),,,ホウ,ぬ(う)
1852,亡,,5,亠,망,죽다,ボウ・モウ,な(い),ム・ブ,ほろ(びる)・うしな(う)・に(げる),ボウ・モウ・ム・ブ,な(い)・ほろ(びる)・うしな(う)・に(げる)
1853,乏,,3,丿,핍,부족하다,ボウ,とぼ(しい),ホウ,,ボウ・ホウ,とぼ(しい)
1854,忙,,4,心,망,바쁘다,ボウ,いそが(しい),モウ,せわ(しい),ボウ・モウ,いそが(しい)・せわ(しい)
1855,坊,,4,土,방,도련님,ボウ・ボッ,,ホウ,まち・へや,ボウ・ボッ・ホウ,まち・へや
1856,妨,,3,女,방,방해하다,ボウ,さまた(げる),ホウ,,ボウ・ホウ,さまた(げる)
1857,忘,,5,心,망,잊다,ボウ,わす(れる),モウ,,ボウ・モウ,わす(れる)
1858,防,,6,阜,방,막다,ボウ,ふせ(ぐ),ホウ,まも(る),ボウ・ホウ,ふせ(ぐ)・まも(る)
1859,房,房,3,戸,방,"송이, 방",ボウ,ふさ,ホウ,へや・いえ,ボウ・ホウ,ふさ・へや・いえ
1860,肪,,4,肉,방,살찌다,ボウ,,ホウ,あぶら,ボウ・ホウ,あぶら
1861,某,,3,木,모,아무,ボウ,,,それがし・なにがし,ボウ,それがし・なにがし
1862,冒,冒,4,曰,모,무릅쓰다,ボウ,おか(す),ボク・モウ,おお(う)・むさぼ(る)・ねた(む),ボウ・ボク・モウ,おか(す)・おお(う)・むさぼ(る)・ねた(む)
1863,剖,,2.5,刀,부,쪼개다,ボウ,,ホウ,わ(ける)・さ(く),ボウ・ホウ,わ(ける)・さ(く)
1864,紡,,2.5,糸,방,실을 잣다,ボウ,つむ(ぐ),ホウ,,ボウ・ホウ,つむ(ぐ)
1865,望,,7,月,망,"바라다, 바람직하다",ボウ・モウ,のぞ(む),,もち・うら(む),ボウ・モウ,のぞ(む)・もち・うら(む)
1866,傍,,4,人,방,곁,ボウ,かたわ(ら),ホウ,そば・はた・わき・そ(う),ボウ・ホウ,かたわ(ら)・そば・はた・わき・そ(う)
1867,帽,帽,4,巾,모,모자,ボウ,,,,ボウ,無し
1868,棒,,5,木,봉,막대,ボウ,,ホウ,,ボウ・ホウ,無し
1869,貿,,6,貝,무,무역,ボウ,,,あきな(う),ボウ,あきな(う)
1870,貌,,2,豸,모,얼굴,ボウ,,,かたち,ボウ,かたち
1871,暴,,6,日,폭,"파헤치다, 난폭하다",ボウ・バク,あば(く)・あば(れる),,あら(い)・にわ(か)・あら(わす)・さら(す),ボウ・バク,あば(く)・あば(れる)・あら(い)・にわ(か)・あら(わす)・さら(す)
1872,膨,,3,肉,팽,부풀다,ボウ,ふく(らむ)・ふく(れる),ホウ,ふく(よか),ボウ・ホウ,ふく(らむ)・ふく(れる)・ふく(よか)
1873,謀,,3,言,모,꾀하다,ボウ・ム,はか(る),,はかりごと,ボウ・ム,はか(る)・はかりごと
1874,頬,頰,2,頁,협,뺨,,ほお,キョウ,,キョウ,ほお
1875,北,,9,匕,"북, 배","북쪽, 지다",ホク,きた,,に(げる)・そむ(く),ホク,きた・に(げる)・そむ(く)
1876,木,,10,木,목,나무,ボク・モク,き・こ,,,ボク・モク,き・こ
1877,朴,,2.5,木,박,순박,ボク,,ハク,すなお・ほお,ボク・ハク,すなお・ほお
1878,牧,,7,牛,목,목장,ボク,まき,モク,か(う)・やしな(う)・つかさ,ボク・モク,まき・か(う)・やしな(う)・つかさ
1879,睦,,2,目,목,화목하다,ボク,,モク,むつ(まじい)・むつ(む)・むつ(ぶ),ボク・モク,むつ(まじい)・むつ(む)・むつ(ぶ)
1880,僕,,2.5,人,복,"나, 하인",ボク,,,しもべ・やつがれ,ボク,しもべ・やつがれ
1881,墨,墨,3,土,묵,먹,ボク,すみ,モク,,ボク・モク,すみ
1882,撲,,2.5,手,박,"치다, 때리다",ボク,,ホク,う(つ)・なぐ(る)・は(る),ボク・ホク,う(つ)・なぐ(る)・は(る)
1883,没,沒,3,水,몰,빠지다,ボツ,,モツ,しず(む)・おぼ(れる)・し(ぬ)・な(い),ボツ・モツ,しず(む)・おぼ(れる)・し(ぬ)・な(い)
1884,勃,,2,力,발,일어나다,ボツ,,ホツ,お(こる)・にわ(かに),ボツ・ホツ,お(こる)・にわ(かに)
1885,堀,,2.5,土,굴,수로,,ほり,クツ・コツ,あな,クツ・コツ,ほり・あな
1886,本,,10,木,본,"책, 근본",ホン,もと,,,ホン,もと
1887,奔,,2.5,大,분,달리다,ホン,,,はし(る),ホン,はし(る)
1888,翻,翻,3,羽,번,"번역, 뒤집다",ホン,ひるがえ(る)・ひるがえ(す),ハン,,ホン・ハン,ひるがえ(る)・ひるがえ(す)
1889,凡,,4,几,범,무릇,ボン・ハン,,,すべ(て)・なみ・およ(そ),ボン・ハン,すべ(て)・なみ・およ(そ)
1890,盆,,4,皿,분,쟁반,ボン,,ホン,はち,ボン・ホン,はち
1891,麻,麻,2.5,麻,마,"삼베, 마비",マ,あさ,バ,しび(れる),マ・バ,あさ・しび(れる)
1892,摩,摩,2.5,手,마,문지르다,マ,,,す(る)・さす(る)・こす(る),マ,す(る)・さす(る)・こす(る)
1893,磨,磨,2.5,石,마,"갈다, 닦다, 연마하다",マ,みが(く),バ,と(ぐ)・す(る),マ・バ,みが(く)・と(ぐ)・す(る)
1894,魔,魔,3,鬼,마,마귀,マ,,バ,,マ・バ,無し
1895,毎,每,9,毋,매,매번,マイ,,バイ,ごと・つね・むさぼ(る),マイ・バイ,ごと・つね・むさぼ(る)
1896,妹,,9,女,매,여동생,マイ,いもうと,バイ,いも,マイ・バイ,いもうと・いも
1897,枚,,5,木,매,"낱, 장",マイ,,バイ,ひら,マイ・バイ,ひら
1898,昧,,2,日,매,애매하다,マイ,,バイ,くら(い),マイ・バイ,くら(い)
1899,埋,,3,土,매,묻다,マイ,う(める)・う(まる)・う(もれる),,うず(もれる)・うず(まる)・い(ける),マイ,う(める)・う(まる)・う(もれる)・うず(もれる)・うず(まる)・い(ける)
1900,幕,,5,巾,막,장막,マク・バク,,,,マク・バク,無し
1901,膜,,3,肉,막,막,マク,,バク,,マク・バク,無し
1902,枕,,2,木,침,베개,,まくら,チン・シン,,チン・シン,まくら
1903,又,,3,又,우,또,,また,ユウ,ふたた(び),ユウ,また・ふたた(び)
1904,末,,7,木,말,끝,マツ・バツ,すえ,,うら,マツ・バツ,すえ・うら
1905,抹,,2.5,手,말,지우다,マツ,,バツ,す(る)・け(す)・こな,マツ・バツ,す(る)・け(す)・こな
1906,万,萬,9,一,만,10000,マン・バン,,,よろず,マン・バン,よろず
1907,満,滿,7,水,만,"차다, 채우다",マン,み(ちる)・み(たす),バン,,マン・バン,み(ちる)・み(たす)
1908,慢,,4,心,만,거만하다,マン,,バン,おこた(る)・おご(る)・あなど(る),マン・バン,おこた(る)・おご(る)・あなど(る)
1909,漫,,4,水,만,"흩어지다, 어쩐지",マン,,バン,みだ(りに)・そぞ(ろに),マン・バン,みだ(りに)・そぞ(ろに)
1910,未,,7,木,미,아님,ミ,,ビ,いま(だ)・いま(だ…ず)・ま(だ)・ひつじ,ミ・ビ,いま(だ)・いま(だ…ず)・ま(だ)・ひつじ
1911,味,,8,口,미,맛,ミ,あじ・あじ(わう),ビ,,ミ・ビ,あじ・あじ(わう)
1912,魅,,3,鬼,매,매혹하다,ミ,,ビ,もののけ・すだま,ミ・ビ,もののけ・すだま
1913,岬,,2.5,山,갑,곶,,みさき,コウ,,コウ,みさき
1914,密,,5,宀,밀,"빽빽함, 남 몰래",ミツ,,ビツ,ひそ(かに)・こま(かい),ミツ・ビツ,ひそ(かに)・こま(かい)
1915,蜜,,2,虫,밀,꿀,ミツ,,,,ミツ,無し
1916,脈,脈,6,肉,맥,줄기,ミャク,,バク,すじ,ミャク・バク,すじ
1917,妙,,4,女,묘,매우 뛰어난,ミョウ,,ビョウ,たえ・わか(い),ミョウ・ビョウ,たえ・わか(い)
1918,民,,7,氏,민,백성,ミン,たみ,,,ミン,たみ
1919,眠,,4,目,면,"자다, 졸리다",ミン,ねむ(る)・ねむ(い),ベン,,ミン・ベン,ねむ(る)・ねむ(い)
1920,矛,,4,矛,모,창,ム,ほこ,ボウ,,ム・ボウ,ほこ
1921,務,,6,力,무,"맡다, 수행해 내다",ム,つと(める)・つと(まる),ブ,あなど(る)・あなど(り),ム・ブ,つと(める)・つと(まる)・あなど(る)・あなど(り)
1922,無,,7,火,무,"없다, 잃다",ム・ブ,な(い),,,ム・ブ,な(い)
1923,夢,,6,夕,몽,꿈,ム,ゆめ,ボウ,,ム・ボウ,ゆめ
1924,霧,,4,雨,무,안개,ム,きり,ブ,,ム・ブ,きり
1925,娘,,4,女,낭,딸,,むすめ,ジョウ・ニョウ,こ,ジョウ・ニョウ,むすめ・こ
1926,名,,10,口,명,이름,メイ・ミョウ,な,,,メイ・ミョウ,な
1927,命,,8,口,명,목숨,メイ・ミョウ,いのち,,おお(せ)・みこと,メイ・ミョウ,いのち・おお(せ)・みこと
1928,明,,9,日,명,"불빛, 밝다, 분명함",メイ・ミョウ,あ(かり)・あか(るい)・あか(るむ)・あか(らむ)・あき(らか)・あ(ける)・あ(く)・あ(くる)・あ(かす),ミン,,メイ・ミョウ・ミン,あ(かり)・あか(るい)・あか(るむ)・あか(らむ)・あき(らか)・あ(ける)・あ(く)・あ(くる)・あ(かす)
1929,迷,迷,6,辵,미,헤매다,メイ,まよ(う),,まど(う),メイ,まよ(う)・まど(う)
1930,冥,,2,冖,명,어둡다,メイ・ミョウ,,,くら(い),メイ・ミョウ,くら(い)
1931,盟,,5,皿,맹,맹세,メイ,,,ちか(う),メイ,ちか(う)
1932,銘,,2.5,金,명,새기다,メイ,,ミョウ,しる(す),メイ・ミョウ,しる(す)
1933,鳴,,9,鳥,명,"울다, 울리다",メイ,な(く)・な(る)・な(らす),ミョウ,,メイ・ミョウ,な(く)・な(る)・な(らす)
1934,滅,,3,水,멸,"망하다, 없애다",メツ,ほろ(びる)・ほろ(ぼす),ベツ,,メツ・ベツ,ほろ(びる)・ほろ(ぼす)
1935,免,免免,3,儿,면,면하다,メン,まぬか(れる),ベン・ブン,ゆる(す)・や(める)・う(む),メン・ベン・ブン,まぬか(れる)・ゆる(す)・や(める)・う(む)
1936,面,,8,面,면,"얼굴, 가면",メン,おも・おもて・つら,ベン,も,メン・ベン,おも・おもて・つら・も
1937,綿,,6,糸,면,"솜, 목화",メン,わた,ベン,つら(なる),メン・ベン,わた・つら(なる)
1938,麺,麵,2,麦,면,면,メン,,ベン,むぎこ,メン・ベン,むぎこ
1939,茂,,4,艸,무,우거지다,モ,しげ(る),ボウ,すぐ(れる),モ・ボウ,しげ(る)・すぐ(れる)
1940,模,,5,木,모,본뜨다,モ・ボ,,,かた・のっと(る),モ・ボ,かた・のっと(る)
1941,毛,,9,毛,모,털,モウ,け,ボウ,,モウ・ボウ,け
1942,妄,,2.5,女,망,허망하다,モウ・ボウ,,,みだ(りに),モウ・ボウ,みだ(りに)
1943,盲,,2.5,目,맹,눈이 멀다,モウ,,ボウ,くら(い),モウ・ボウ,くら(い)
1944,耗,,2.5,耒,모,소모,モウ・コウ,,,へ(る)・たよ(り),モウ・コウ,へ(る)・たよ(り)
1945,猛,,4,犬,맹,사납다,モウ,,,たけ(し),モウ,たけ(し)
1946,網,,4,糸,망,그물,モウ,あみ,ボウ,,モウ・ボウ,あみ
1947,目,,10,目,목,눈,モク・ボク,め・ま,,まなこ・かなめ,モク・ボク,め・ま・まなこ・かなめ
1948,黙,默,4,黒,묵,말하지 않다,モク,だま(る),ボク,だんま(り)・もだ(す),モク・ボク,だま(る)・だんま(り)・もだ(す)
1949,門,,9,門,문,문,モン,かど,ボン,と・いえ・みうち,モン・ボン,かど・と・いえ・みうち
1950,紋,,4,糸,문,무늬,モン,,ブン,あや,モン・ブン,あや
1951,問,,8,口,문,묻다,モン,と(う)・と(い)・とん,ブン,たず(ねる)・たよ(り),モン・ブン,と(う)・と(い)・とん・たず(ねる)・たよ(り)
1952,冶,,2,冫,야,제련,ヤ,,,と(ける)・い(る)・なまめ(かしい),ヤ,と(ける)・い(る)・なまめ(かしい)
1953,夜,,9,夕,야,밤,ヤ,よ・よる,,,ヤ,よ・よる
1954,野,,9,里,야,들판,ヤ,の,ショ,いや(しい)・いなかや,ヤ・ショ,の・いや(しい)・いなかや
1955,弥,彌,2,弓,미,점점,,や,ビ・ミ,あまね(し)・ひさ(しい)・わた(る)・つくろ(う)・いよいよ・いや,ビ・ミ,や・あまね(し)・ひさ(しい)・わた(る)・つくろ(う)・いよいよ・いや
1956,厄,,2.5,厂,액,재난,ヤク,,,わざわ(い)・くる(しむ),ヤク,わざわ(い)・くる(しむ)
